variable.ID,variable.type,variable.name,units,description,extended.description,equations,requires.allometry,requires.min.dbh,requires.depth,associated.covariate_1,associated.covariate_2,provide.to.IPCC,IPCC.C_pool,IPCC.Unit_(ID),Type of Parameter (ID),Equation,Equation_questioned,IPCC Worksheet Number,IPCC.notes,review.notes
11,flux,NPP_3_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory and reproductive NPP. ",NPP_3_OM = NPP_2_OM + ANPP_repro_OM,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
12,flux,NPP_3_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory and reproductive NPP. ",NPP_3_C = NPP_2_C + ANPP_repro_C,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
13,flux,NPP_4_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive and herbivory. ",NPP_4_OM = NPP_3_OM + ANPP_herbivory_OM,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
14,flux,NPP_4_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive and herbivory. ",NPP_4_C = NPP_3_C + ANPP_herbivory_C,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
15,flux,NPP_5_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Total Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive, herbivory, VOC and exudation. ","NPP_5_OM = NPP_4_OM + (NPP_exudation,VOC)",1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
16,flux,NPP_5_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Total Net Primary Production (NPP), including foliage, branch, stem, coarse root, fine root, understory, reproductive, herbivory, VOC and exudation. ","NPP_5_C = NPP_4_C + (NPP_exudation,VOC_C)",1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
17,flux,NPP_0_OM,Mg ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), where components included are unknown/do not fit the definition of other NPP variables.",NA,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
18,flux,NPP_0_C,Mg C ha-1 yr-1,Net Primary Production (NPP),"Annual Net Primary Production (NPP), where components included are unknown/do not fit the definition of other NPP variables.",NA,1,1,1,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
19,flux,NPP_woody_OM,Mg ha-1 yr-1,Net Primary Production: woody component(NPP_woody),"Annual woody Net Primary Production : annual production of woody biomass (branch, stem, coarse root) estimated using allometric equations.",NPP_woody_OM = ANPP_woody_OM + BNPP_coarse root_OM,1,1,1,include.recruitment,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,*Equation 2.10,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, ÆC=NPP_woody-woody mortality (needing to account for aboveground and roots, which is not a variable in ForC). Also note that NPP includes both aboveground and belowground components. ANPP and BNPP variables separate these. I don't think this works with equation 2.10, but could be useful in the gain-loss method."
20,flux,NPP_woody_C,Mg C ha-1 yr-1,Net Primary Production: woody component(NPP_woody),"Annual woody Net Primary Production : annual production of woody biomass C (branch, stem, coarse root) estimated using allometric equations.",NPP_woody_C = ANPP_woody_C + BNPP_coarse root_C,1,1,1,include.recruitment,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,*Equation 2.10,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, ÆC=NPP_woody-woody mortality (needing to account for aboveground and roots, which is not a variable in ForC). Also note that NPP includes both aboveground and belowground components. ANPP and BNPP variables separate these. I don't think this works with equation 2.10, but could be useful in the gain-loss method."
21,flux,NPP_understory_OM,Mg ha-1 yr-1,Net Primary Production: understory component (NPP_understory),Annual understory Net Primary Production (NPP). Components included may vary.,NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,For annual biomass this parameter is not needed for NGHGI,
22,flux,NPP_understory_C,Mg C ha-1 yr-1,Net Primary Production: understory component (NPP_understory),Annual understory Net Primary Production (NPP). Components included may vary.,NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,For annual biomass this parameter is not needed for NGHGI,
23,flux,NPP_litter_OM,Mg ha-1 yr-1,Net Primary Production: fine detrital component (NPP_litter),Annual fine detrital production: litterfall + rine root turnover,NPP_litter_OM = ANPP_litterfall_OM + BNPP_root.turnover_fine_OM,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,*Equation 2.18,,,"I sent an email 3/30 saying that I'd deleted this variable but then reinstated because I hadn't realized that there are some records for it in ForC. However, it's still a strange variable, and I'm not sure how useful. It includes (without separation) inputs to both the litter layer (litterfall) and soil layer (death of fine roots). Most of this carbon will turn over rapidly. The carbon increment of litter and soil combined would be equal to this minus respiration of R_het_soil-R_het_litter."
24,flux,NPP_litter_C,Mg C ha-1 yr-1,Net Primary Production: fine detrital component (NPP_litter),Annual fine detrital production: litterfall + rine root turnover,NPP_litter_C = ANPP_litterfall_C + BNPP_root.turnover_fine_C,0,0,1,min.diameter_root,max.diameter_root,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,*Equation 2.18,,,"I sent an email 3/30 saying that I'd deleted this variable but then reinstated because I hadn't realized that there are some records for it in ForC. However, it's still a strange variable, and I'm not sure how useful. It includes (without separation) inputs to both the litter layer (litterfall) and soil layer (death of fine roots). Most of this carbon will turn over rapidly. The carbon increment of litter and soil combined would be equal to this minus respiration of R_het_soil-R_het_litter."
25,flux,ANPP_1_OM,Mg ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), including litterfall and stem growth.",ANPP_1_OM = ANPP_woody_stem_OM + ANPP_foliage_OM,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,"all variables where we have the production of non-woody bioamss (leaves, grass) cannot be used since Inventories do not count for non-woody biomass gain and losses (they count in term of stock loss/gain in case of conversion)","note, though, that aboveground biomass estimates include foliage (which is a very small component)"
26,flux,ANPP_1_C,Mg C ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), including litterfall and stem growth.",ANPP_1_C = ANPP_woody_stem_C + ANPP_foliage_C,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,"all variables where we have the production of non-woody bioamss (leaves, grass) cannot be used since Inventories do not count for non-woody biomass gain and losses (they count in term of stock loss/gain in case of conversion)",
27,flux,ANPP_2_OM,Mg ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), including litterfall, stem growth, and branch turnover.",(1) ANPP_2_OM = ANPP_foliage_OM + ANPP_woody_stem_OM + ANPP_woody_branch_OM; (2) ANPP_2_OM = ANPP_foliage_OM + ANPP_woody_OM,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,"all variables where we have the production of non-woody bioamss (leaves, grass) cannot be used since Inventories do not count for non-woody biomass gain and losses (they count in term of stock loss/gain in case of conversion)",
28,flux,ANPP_2_C,Mg C ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), including litterfall, stem growth, and branch turnover.",(1) ANPP_2_C = ANPP_foliage_C + ANPP_woody_stem_C + ANPP_woody_branch_C; (2) ANPP_2_C = ANPP_foliage_C + ANPP_woody_C,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,"all variables where we have the production of non-woody bioamss (leaves, grass) cannot be used since Inventories do not count for non-woody biomass gain and losses (they count in term of stock loss/gain in case of conversion)",
29,flux,ANPP_0_OM,Mg ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), where components included are unknown/do not fit the definition of ANPP_1 or ANPP_2.",NA,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
30,flux,ANPP_0_C,Mg C ha-1 yr-1,Aboveground Net Primary Production (ANPP),"Annual aboveground Net Primary Production (ANPP), where components included are unknown/do not fit the definition of ANPP_1 or ANPP_2.",NA,1,1,0,include.recruitment,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
31,flux,ANPP_woody_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: woody component (ANPP_woody),"Annual aboveground woody production, including stem growth and branch turnover.",ANPP_woody_OM = ANPP_woody_stem_OM + ANPP_woody_branch_OM,1,1,0,include.recruitment,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,*Equation 2.8,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, Æaboveground biomass=ANPP_woody-woody.mortality_ag-ANPP_woody_branch. I don't think this works with equation 2.8, but could be useful in the gain-loss method."
32,flux,ANPP_woody_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: woody component (ANPP_woody),"Annual aboveground woody production, including stem growth and branch turnover.",ANPP_woody_C = ANPP_woody_stem_C + ANPP_woody_branch_C,1,1,0,include.recruitment,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,*Equation 2.8,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, Æaboveground biomass=ANPP_woody-woody.mortality_ag-ANPP_woody_branch.I don't think this works with equation 2.8, but could be useful in the gain-loss method."
33,flux,ANPP_woody_stem_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: woody stem component (ANPP_woody_stem),"Annual aboveground woody production accounting for stem growth but not branch fall;  i.e., wood (including branch) increment determined using allometric equations relating aboveground woody biomass increment to changes in stem diameter of all individual trees in the plot. Also known as ""coarse woody productivity"".",NA,1,1,0,include.recruitment,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,*Equation 2.8,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, Æaboveground biomass=ANPP_woody_stem-woody.mortality_ag. I don't think this works with equation 2.8, but could be useful in the gain-loss method."
34,flux,ANPP_woody_stem_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: woody stem component (ANPP_woody_stem),"Annual aboveground woody production accounting for stem growth but not branch fall;  i.e., wood (including branch) increment determined using allometric equations relating aboveground woody biomass increment to changes in stem diameter of all individual trees in the plot. Also known as ""coarse woody productivity"".",NA,1,1,0,include.recruitment,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,*Equation 2.8,,,"Important to note that this is NOT the same as live biomass increment (ÆC, or GTOTAL in equation 2.9, or delta.agb for aboveground biomass in ForC) because it does not account for woody mortality. Rather, Æaboveground biomass=ANPP_woody_stem-woody.mortality_ag. I don't think this works with equation 2.8, but could be useful in the gain-loss method."
35,flux,ANPP_woody_branch_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: woody branch component (ANPP_woody_branch),"Annual branch turnover, typically determined by collecting branch fall throughout the year.",NA,0,0,0,max.diameter_branch,min.diameter_branch,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter or dead wood, depending on size threshold. Usually litter)"
36,flux,ANPP_woody_branch_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: woody branch component (ANPP_woody_branch),"Annual branch turnover, typically determined by collecting branch fall throughout the year.",NA,0,0,0,max.diameter_branch,min.diameter_branch,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter or dead wood, depending on size threshold. Usually litter)"
37,flux,ANPP_foliage_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: foliage component (ANPP_foliage),"Annual foliage production, typically estimated by collecting leaf/needle fall throughout the year, but ideally correcting for changes in leaf biomass when measured. ",ANPP_foliage_OM = (total leaf production) - ANPP_folivory_OM + (change in biomass_ag_foliage_OM),0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
38,flux,ANPP_foliage_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: foliage component (ANPP_foliage),"Annual foliage production, typically estimated by collecting leaf/needle fall throughout the year, but ideally correcting for changes in leaf biomass when measured. ",ANPP_foliage_C = (total leaf production) - ANPP_folivory_C + (change in biomass_ag_foliage_C),0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
39,flux,ANPP_litterfall_1_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Anuall litterfall, including leaves, twigs, and reproductive structures.",ANPP_litterfall_1_OM = ANPP_foliage_OM + ANPP_ repro_OM + (ANPP_twigs_OM),0,0,0,(max.diameter_twig),NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter component). Not complete (excludes belowgroud, branches, small trees). "
40,flux,ANPP_litterfall_1_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Anuall litterfall, including leaves, twigs, and reproductive structures.",ANPP_litterfall_1_C = ANPP_foliage_C + ANPP_ repro_C + (ANPP_twigs_C),0,0,0,(max.diameter_twig),NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter component). Not complete (excludes belowgroud, branches, small trees). "
41,flux,ANPP_litterfall_2_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Annual litterfall, including leaves, twigs, reproductive structures, and small branches/ wood/ large twigs.",ANPP_litterfall_2_OM = ANPP_litterfall_1_OM + ( ANPP_small branches/ large twigs_OM),0,0,0,(max.diameter_branch),NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter component). Not complete (excludes belowgroud, branches, small trees). "
42,flux,ANPP_litterfall_2_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Annual litterfall, including leaves, twigs, reproductive structures, and small branches/ wood/ large twigs.",ANPP_litterfall_2_C = ANPP_litterfall_1_C + ( ANPP_small branches/ large twigs_C),0,0,0,(max.diameter_branch),NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (litter component). Not complete (excludes belowgroud, branches, small trees). "
43,flux,ANPP_litterfall_0_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Annual litterfall, where components included are not specified.",NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
44,flux,ANPP_litterfall_0_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: litterfall component (ANPP_litterfall),"Annual litterfall, where components included are not specified.",NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
45,flux,ANPP_repro_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: reproduction component (ANPP_repro),"Annual allocation of NPP to reproductive structures (fruits, flowers, seeds).",NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
46,flux,ANPP_repro_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: reproduction component (ANPP_repro),"Annual allocation of NPP to reproductive structures (fruits, flowers, seeds).",NA,0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
47,flux,ANPP_folivory_OM,Mg ha-1 yr-1,Aboveground Net Primary Production: folivory component (ANPP_folivory),"Annual leaf consumption by herbivores, defined here as a direct component of ANPP (as opposed to a component of ANPP_foliage)*. ",ANPP_folivory_OM = (total leaf production_OM) - ANPP_foliage_OM + (change in biomass_ag_foliage_OM),0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,,
48,flux,ANPP_folivory_C,Mg C ha-1 yr-1,Aboveground Net Primary Production: folivory component (ANPP_folivory),"Annual leaf consumption by herbivores, defined here as a direct component of ANPP (as opposed to a component of ANPP_foliage)*. ",ANPP_folivory_C = (total leaf production_C) - ANPP_foliage_C + (change in biomass_ag_foliage_C),0,0,0,NA,NA,0,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,,
49,flux,woody.mortality_OM,Mg ha-1 yr-1,Woody Mortality,"Annual woody mortality--i.e., total biomass (aboveground + root) of tree stems that die. ",woody.mortality_OM = woody.mortality_ag_OM + woody.mortality_root_OM,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (dead wood component). For a dead wood size threshold of 10cm, this would generally account for all inputs to the dead wood component, although large branch fall would not be captured."
50,flux,woody.mortality_C,Mg C ha-1 yr-1,Woody Mortality,"Annual woody mortality--i.e., total biomass (aboveground + root) of tree stems that die. ",woody.mortality_C = woody.mortality_ag_C + woody.mortality_root_C,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (dead wood component). For a dead wood size threshold of 10cm, this would generally account for all inputs to the dead wood component, although large branch fall would not be captured."
51,flux,woody.mortality_ag_OM,Mg ha-1 yr-1,Woody Mortality: aboveground component,"Annual aboveground woody mortality--i.e., total aboveground biomass of tree stems that die. ",woody.mortality_ag_OM = ANPP_woody_stem_OM - delta.agb_OM ,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (dead wood component). For a dead wood size threshold of 10cm, this would generally account for all inputs to the dead wood component, although large branch fall + roots would not be captured."
52,flux,woody.mortality_ag_C,Mg C ha-1 yr-1,Woody Mortality: aboveground component,"Annual aboveground woody mortality--i.e., total aboveground biomass of tree stems that die. ",woody.mortality_ag_C= ANPP_woody_stem_C - delta.agb_C,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,"Consistency checks. This will be one component of DOM_in (dead wood component). For a dead wood size threshold of 10cm, this would generally account for all inputs to the dead wood component, although large branch fall + roots would not be captured."
53,flux,woody.mortality_root_OM,Mg ha-1 yr-1,Woody Mortality: root component,"Annual belowground woody mortality--i.e., total root biomass of tree stems that die. ",NA,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),Equation 2.18,,,,Consistency checks. This will be one component of DOM_in (dead wood component). 
54,flux,woody.mortality_root_C,Mg C ha-1 yr-1,Woody Mortality: root component,"Annual belowground woody mortality--i.e., total root biomass of tree stems that die. ",NA,1,1,0,stem.level ,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),Equation 2.18,,,,Consistency checks. This will be one component of DOM_in (dead wood component). 
55,flux,BNPP_root_OM,Mg ha-1 yr-1,Belowground Net Primary Production (BNPP),Annual net primary production of coarse and fine roots.,BNPP_root_OM = BNPP_root_coarse_OM + BNPP_root_fine_OM,1,1,1,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes dm/ha/year (273),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"As  you note, and as with ANPP_woody, losses would need to be subtracted to get biomass/ C increment of roots. The coarse root component would be the more relevant one, and unfortunately we don't have a variable in ForC quantifying the loss of these. Decay of dead roots would be included in R_soil (in theory R_soil_het, but in practice fine root decay would often get included in R_auto_root)."
56,flux,BNPP_root_C,Mg C ha-1 yr-1,Belowground Net Primary Production (BNPP),Annual net primary production of coarse and fine roots.,BNPP_root_C = BNPP_root_coarse_C + BNPP_root_fine_C,1,1,1,min.diameter_root,NA,1,Classified otherwise (OTH),tonnes C/ha/yr (355),Other [e.g. Compiled] (3),NA,,,Not IPCC but could be useful since it may be applied with the variable on losses in a gain and loss type of IPCC equation limited to belowground biomass,"As  you note, and as with ANPP_woody, losses would need to be subtracted to get biomass/ C increment of roots. The coarse root component would be the more relevant one, and unfortunately we don't have a variable in ForC quantifying the loss of these. Decay of dead roots would be included in R_soil (in theory R_soil_het, but in practice fine root decay would often get included in R_auto_root)."
